
gpu_avida_loop | device=cuda | maxit=1 (reachable depth ~P*maxit=24) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen     0: best=3.37 edge=0.75 top_named_sim=1.000 named_in_top5=3 | ['a-b'] | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a'] [1s]
  gen    10: best=4.20 edge=0.98 top_named_sim=0.865 named_in_top5=4 | ~(a^b)<<1@0.865 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [3s]
  gen    20: best=5.19 edge=1.00 top_named_sim=0.581 named_in_top5=0 | ~0xFFFF@0.581 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [6s]
  gen    30: best=5.02 edge=1.00 top_named_sim=0.831 named_in_top5=0 | ~0@0.831 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [9s]
  gen    40: best=5.04 edge=1.00 top_named_sim=0.630 named_in_top5=0 | ~a<<4@0.63 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [12s]
  gen    50: best=5.16 edge=1.00 top_named_sim=0.831 named_in_top5=0 | ~0@0.831 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [15s]
  gen    60: best=4.87 edge=1.00 top_named_sim=0.831 named_in_top5=0 | ~0@0.831 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [18s]
  gen    70: best=4.85 edge=0.99 top_named_sim=0.804 named_in_top5=0 | ~0@0.804 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [21s]
  gen    80: best=4.90 edge=0.98 top_named_sim=0.678 named_in_top5=0 | ~0@0.678 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [24s]
  gen    90: best=4.94 edge=0.99 top_named_sim=0.691 named_in_top5=0 | ~0@0.691 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [27s]
  gen   100: best=5.18 edge=1.00 top_named_sim=0.663 named_in_top5=0 | ~0@0.663 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [29s]
  gen   110: best=5.12 edge=1.00 top_named_sim=0.559 named_in_top5=0 | ~(a^b)<<1@0.559 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [32s]
  gen   120: best=4.92 edge=0.99 top_named_sim=0.691 named_in_top5=0 | ~0@0.691 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [35s]
  gen   130: best=4.88 edge=0.98 top_named_sim=0.692 named_in_top5=0 | ~0@0.692 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [38s]
  gen   140: best=5.10 edge=0.98 top_named_sim=0.601 named_in_top5=0 | ~(a^b)<<1@0.601 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [41s]
  gen   150: best=5.03 edge=1.00 top_named_sim=0.633 named_in_top5=0 | ~0@0.633 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [44s]
  gen   160: best=5.17 edge=1.00 top_named_sim=0.831 named_in_top5=0 | ~0xFFFF@0.831 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [47s]
  gen   170: best=5.07 edge=1.00 top_named_sim=0.559 named_in_top5=0 | ~(a^b)<<1@0.559 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [50s]
  gen   180: best=5.01 edge=1.00 top_named_sim=0.633 named_in_top5=0 | ~0@0.633 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [53s]
  gen   190: best=4.99 edge=1.00 top_named_sim=0.633 named_in_top5=0 | ~0@0.633 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [55s]
  gen   200: best=5.02 edge=1.00 top_named_sim=0.633 named_in_top5=0 | ~0@0.633 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [58s]
  gen   210: best=4.88 edge=1.00 top_named_sim=0.594 named_in_top5=0 | ~a<<3@0.594 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [61s]
  gen   220: best=4.74 edge=1.00 top_named_sim=0.630 named_in_top5=0 | ~a<<4@0.63 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [64s]
  gen   230: best=4.79 edge=1.00 top_named_sim=0.821 named_in_top5=0 | ~0@0.821 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [67s]
  gen   240: best=4.84 edge=1.00 top_named_sim=0.832 named_in_top5=0 | ~a<<4@0.832 | fm=['a-b', 'a<<2', '4a', 'a<<1', '2a', 'a^b'] [70s]
