device=cuda  arch=both  op=mul  smoke=False
hidden=96 mem=40x12 steps=40000 seeds=3 train_w=[1, 2, 3, 4, 5, 6] test_w=[4, 6, 8, 10, 12, 16, 20]

  [baseline] seed 0  params=35338
    step      1  loss 2.2998  (0s)
    step    500  loss 1.8713  (9s)
    step   1000  loss 1.9809  (18s)
    step   1500  loss 1.0988  (27s)
    step   2000  loss 0.0063  (36s)
    step   2500  loss 1.8809  (45s)
    step   3000  loss 1.6255  (54s)
    step   3500  loss 1.7411  (63s)
    step   4000  loss 1.5919  (71s)
    step   4500  loss 0.0011  (80s)
    step   5000  loss 1.2878  (89s)
    step   5500  loss 1.8297  (97s)
    step   6000  loss 1.8345  (106s)
    step   6500  loss 1.5061  (115s)
    step   7000  loss 1.6547  (124s)
    step   7500  loss 1.6728  (132s)
    step   8000  loss 1.7561  (141s)
    step   8500  loss 1.7411  (150s)
    step   9000  loss 1.6508  (159s)
    step   9500  loss 1.4292  (169s)
    step  10000  loss 0.5031  (178s)
    step  10500  loss 0.0007  (187s)
    step  11000  loss 1.7546  (196s)
    step  11500  loss 0.0004  (205s)
    step  12000  loss 1.3920  (214s)
    step  12500  loss 0.0005  (222s)
    step  13000  loss 0.0005  (232s)
    step  13500  loss 1.0154  (241s)
    step  14000  loss 1.6631  (250s)
    step  14500  loss 0.9895  (259s)
    step  15000  loss 1.5496  (268s)
    step  15500  loss 1.3357  (277s)
    step  16000  loss 1.6514  (286s)
    step  16500  loss 1.2888  (295s)
    step  17000  loss 0.9339  (304s)
    step  17500  loss 1.3502  (313s)
    step  18000  loss 0.0008  (322s)
    step  18500  loss 1.5180  (331s)
    step  19000  loss 1.4759  (340s)
    step  19500  loss 1.6437  (349s)
    step  20000  loss 0.1925  (357s)
    step  20500  loss 1.6461  (366s)
    step  21000  loss 0.1726  (376s)
    step  21500  loss 1.2531  (385s)
    step  22000  loss 0.1913  (394s)
    step  22500  loss 1.4600  (402s)
    step  23000  loss 1.6006  (411s)
    step  23500  loss 0.1219  (420s)
    step  24000  loss 0.1320  (429s)
    step  24500  loss 0.0003  (437s)
    step  25000  loss 0.0003  (447s)
    step  25500  loss 0.2574  (456s)
    step  26000  loss 0.0002  (465s)
    step  26500  loss 0.0002  (474s)
    step  27000  loss 0.1613  (483s)
    step  27500  loss 0.0002  (492s)
    step  28000  loss 0.9226  (500s)
    step  28500  loss 0.0993  (509s)
    step  29000  loss 1.2844  (518s)
    step  29500  loss 1.2252  (527s)
