device=cuda  arch=both  op=rev  smoke=False
hidden=64 mem=24x8 steps=12000 seeds=3 train_w=[1, 2, 3, 4, 5] test_w=[3, 5, 8, 12, 16, 20]

  [baseline] seed 0  params=17418
    step      1  loss 2.3068  (0s)
    step    500  loss 0.0005  (5s)
    step   1000  loss 0.0016  (11s)
    step   1500  loss 0.0014  (16s)
    step   2000  loss 0.0204  (21s)
    step   2500  loss 0.0004  (26s)
    step   3000  loss 0.0005  (31s)
    step   3500  loss 0.0000  (36s)
    step   4000  loss 0.0000  (41s)
    step   4500  loss 0.0003  (46s)
    step   5000  loss 0.0009  (51s)
    step   5500  loss 0.0000  (56s)
    step   6000  loss 0.0001  (61s)
    step   6500  loss 0.0000  (66s)
    step   7000  loss 0.0002  (71s)
    step   7500  loss 0.0001  (76s)
    step   8000  loss 0.0000  (82s)
    step   8500  loss 0.0000  (87s)
    step   9000  loss 0.0000  (92s)
    step   9500  loss 0.0000  (97s)
    step  10000  loss 0.0000  (103s)
    step  10500  loss 0.0001  (108s)
    step  11000  loss 0.0000  (113s)
    step  11500  loss 0.0000  (118s)
    step  12000  loss 0.0000  (124s)
  [baseline] seed 0 len-gen: w3:1.000  w5:1.000  w8:0.004  w12:0.000  w16:0.000  w20:0.000

  [baseline] seed 1  params=17418
    step      1  loss 2.3054  (0s)
    step    500  loss 0.0008  (5s)
    step   1000  loss 0.0014  (10s)
    step   1500  loss 0.0015  (15s)
    step   2000  loss 0.0253  (20s)
    step   2500  loss 0.0003  (25s)
    step   3000  loss 0.0008  (30s)
    step   3500  loss 0.0000  (35s)
    step   4000  loss 0.0001  (41s)
    step   4500  loss 0.0005  (45s)
    step   5000  loss 0.0026  (51s)
    step   5500  loss 0.0000  (56s)
    step   6000  loss 0.0001  (61s)
    step   6500  loss 0.0000  (66s)
    step   7000  loss 0.0000  (71s)
    step   7500  loss 0.0000  (76s)
    step   8000  loss 0.0000  (81s)
    step   8500  loss 0.0000  (87s)
    step   9000  loss 0.0000  (92s)
    step   9500  loss 0.0000  (97s)
    step  10000  loss 0.0000  (102s)
    step  10500  loss 0.0000  (107s)
    step  11000  loss 0.0000  (112s)
    step  11500  loss 0.0000  (117s)
    step  12000  loss 0.0000  (122s)
  [baseline] seed 1 len-gen: w3:1.000  w5:1.000  w8:0.004  w12:0.000  w16:0.000  w20:0.000

  [baseline] seed 2  params=17418
    step      1  loss 2.3095  (0s)
    step    500  loss 0.0004  (5s)
    step   1000  loss 0.0012  (10s)
    step   1500  loss 0.0026  (15s)
    step   2000  loss 0.0507  (20s)
    step   2500  loss 0.0004  (25s)
