
gpu_avida_loop | device=cuda | maxit=16 (reachable depth ~P*maxit=384) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen     0: best=4.12 edge=1.00 top_named_sim=1.000 named_in_top5=4 | ['a^b', '(a|b)-(a&b)'] | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [2s]
  gen    10: best=5.13 edge=1.00 top_named_sim=0.545 named_in_top5=0 | ~a<<1@0.545 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [13s]
  gen    20: best=5.10 edge=0.98 top_named_sim=0.663 named_in_top5=0 | ~0xFFFF@0.663 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [25s]
  gen    30: best=5.20 edge=1.00 top_named_sim=0.600 named_in_top5=0 | ~0xFFFF@0.6 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [37s]
  gen    40: best=5.11 edge=1.00 top_named_sim=0.579 named_in_top5=0 | ~(a+b)^a^b@0.579 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [48s]
  gen    50: best=5.20 edge=1.00 top_named_sim=0.599 named_in_top5=0 | ~~(a|b)@0.599 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [60s]
  gen    60: best=5.19 edge=1.00 top_named_sim=0.657 named_in_top5=0 | ~b<<3@0.657 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [72s]
  gen    70: best=5.20 edge=1.00 top_named_sim=0.657 named_in_top5=0 | ~0xFFFF@0.657 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [84s]
  gen    80: best=5.19 edge=1.00 top_named_sim=0.657 named_in_top5=0 | ~b<<3@0.657 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [96s]
  gen    90: best=5.20 edge=1.00 top_named_sim=0.657 named_in_top5=0 | ~0xFFFF@0.657 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [108s]
  gen   100: best=5.20 edge=1.00 top_named_sim=0.629 named_in_top5=0 | ~a|b@0.629 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [120s]
  gen   110: best=5.20 edge=1.00 top_named_sim=0.618 named_in_top5=0 | ~b<<3@0.618 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [132s]
  gen   120: best=5.20 edge=1.00 top_named_sim=0.618 named_in_top5=0 | ~b<<3@0.618 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [144s]
  gen   130: best=5.20 edge=1.00 top_named_sim=0.686 named_in_top5=0 | ~0xFFFF@0.686 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [156s]
  gen   140: best=5.20 edge=1.00 top_named_sim=0.569 named_in_top5=0 | ~~(a|b)@0.569 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [168s]
  gen   150: best=5.18 edge=1.00 top_named_sim=0.554 named_in_top5=0 | ~-b@0.554 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [180s]
  gen   160: best=5.19 edge=1.00 top_named_sim=0.571 named_in_top5=0 | ~a|b@0.571 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [192s]
  gen   170: best=5.20 edge=1.00 top_named_sim=0.686 named_in_top5=0 | ~0xFFFF@0.686 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [204s]
  gen   180: best=5.20 edge=1.00 top_named_sim=0.571 named_in_top5=0 | ~a|b@0.571 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [216s]
  gen   190: best=5.19 edge=1.00 top_named_sim=0.584 named_in_top5=0 | ~a<<3@0.584 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [228s]
  gen   200: best=5.19 edge=1.00 top_named_sim=0.562 named_in_top5=0 | ~a@0.562 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [240s]
  gen   210: best=5.14 edge=1.00 top_named_sim=0.599 named_in_top5=0 | ~~(a|b)@0.599 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [252s]
  gen   220: best=5.20 edge=1.00 top_named_sim=0.580 named_in_top5=0 | ~-a@0.58 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [264s]
  gen   230: best=5.20 edge=1.00 top_named_sim=0.555 named_in_top5=0 | ~-(a+b)@0.555 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [276s]
  gen   240: best=5.17 edge=1.00 top_named_sim=0.554 named_in_top5=0 | ~-b@0.554 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [288s]
  gen   250: best=5.20 edge=1.00 top_named_sim=0.571 named_in_top5=0 | ~a|b@0.571 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [300s]
  gen   260: best=5.20 edge=1.00 top_named_sim=0.686 named_in_top5=0 | ~0xFFFF@0.686 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [312s]
  gen   270: best=5.20 edge=1.00 top_named_sim=0.576 named_in_top5=0 | ~(a+b)^a^b@0.576 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [324s]
  gen   280: best=5.20 edge=1.00 top_named_sim=0.576 named_in_top5=0 | ~(a+b)^a^b@0.576 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [336s]
  gen   290: best=5.18 edge=1.00 top_named_sim=0.614 named_in_top5=0 | ~b<<1@0.614 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [348s]
  gen   300: best=5.20 edge=1.00 top_named_sim=0.619 named_in_top5=0 | ~0@0.619 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [360s]
  gen   310: best=5.19 edge=1.00 top_named_sim=0.588 named_in_top5=0 | ~-b@0.588 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [372s]
  gen   320: best=5.20 edge=1.00 top_named_sim=0.544 named_in_top5=0 | ~2a+2b@0.544 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [384s]
  gen   330: best=5.15 edge=0.99 top_named_sim=0.635 named_in_top5=0 | ~(a^b)<<2@0.635 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [396s]
  gen   340: best=5.17 edge=1.00 top_named_sim=0.591 named_in_top5=0 | ~a|~b@0.591 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [408s]
  gen   350: best=5.18 edge=1.00 top_named_sim=0.838 named_in_top5=0 | ~b<<1@0.838 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [420s]
  gen   360: best=5.17 edge=0.99 top_named_sim=0.624 named_in_top5=0 | ~0xFFFF@0.624 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [432s]
  gen   370: best=5.16 edge=0.99 top_named_sim=0.624 named_in_top5=0 | ~0xFFFF@0.624 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [444s]
  gen   380: best=5.17 edge=1.00 top_named_sim=0.573 named_in_top5=0 | ~0xFFFF@0.573 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [456s]
  gen   390: best=5.17 edge=0.99 top_named_sim=0.567 named_in_top5=0 | ~a+b@0.567 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [468s]
  gen   400: best=5.18 edge=0.99 top_named_sim=0.622 named_in_top5=0 | ~~(a|b)@0.622 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [480s]
  gen   410: best=5.20 edge=1.00 top_named_sim=0.712 named_in_top5=0 | ~0xFFFF@0.712 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [491s]
  gen   420: best=5.20 edge=1.00 top_named_sim=0.576 named_in_top5=0 | ~a-b-1@0.576 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [503s]
  gen   430: best=5.20 edge=1.00 top_named_sim=0.567 named_in_top5=0 | ~0@0.567 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [515s]
  gen   440: best=5.20 edge=1.00 top_named_sim=0.634 named_in_top5=0 | ~0xFFFF@0.634 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [527s]
  gen   450: best=5.17 edge=1.00 top_named_sim=0.601 named_in_top5=0 | ~b+1@0.601 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [539s]
  gen   460: best=5.17 edge=1.00 top_named_sim=0.601 named_in_top5=0 | ~b+1@0.601 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [551s]
  gen   470: best=5.20 edge=1.00 top_named_sim=0.575 named_in_top5=0 | ~0@0.575 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [563s]
  gen   480: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~a+1@0.607 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [576s]
  gen   490: best=5.20 edge=1.00 top_named_sim=0.554 named_in_top5=0 | ~-b@0.554 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [588s]
  gen   500: best=5.20 edge=1.00 top_named_sim=0.621 named_in_top5=0 | ~b+1@0.621 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [599s]
  gen   510: best=5.20 edge=1.00 top_named_sim=0.638 named_in_top5=0 | ~-b@0.638 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [611s]
  gen   520: best=5.20 edge=1.00 top_named_sim=0.660 named_in_top5=0 | ~0xFFFF@0.66 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [623s]
  gen   530: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~a<<2@0.577 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [636s]
  gen   540: best=5.20 edge=1.00 top_named_sim=0.577 named_in_top5=0 | ~a<<2@0.577 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [647s]
  gen   550: best=5.20 edge=1.00 top_named_sim=0.712 named_in_top5=0 | ~0xFFFF@0.712 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [660s]
  gen   560: best=5.20 edge=1.00 top_named_sim=0.707 named_in_top5=0 | ~0xFFFF@0.707 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [672s]
  gen   570: best=5.19 edge=1.00 top_named_sim=0.653 named_in_top5=0 | ~~b@0.653 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [684s]
  gen   580: best=5.20 edge=1.00 top_named_sim=0.585 named_in_top5=0 | ~b<<1@0.585 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [696s]
  gen   590: best=5.16 edge=1.00 top_named_sim=0.593 named_in_top5=0 | ~~(a|b)@0.593 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [708s]
  gen   600: best=5.18 edge=1.00 top_named_sim=0.666 named_in_top5=0 | ~0xFFFF@0.666 | fm=['a^b', '(a|b)-(a&b)', 'a-b-1', 'a+b', '(a|b)+(a&b)'] [720s]
