
gpu_avida_loop | device=cuda | maxit=1 (reachable depth ~P*maxit=24) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen     0: best=3.29 edge=0.73 top_named_sim=1.000 named_in_top5=5 | ['a+b', '(a|b)+(a&b)'] | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [1s]
  gen    10: best=4.12 edge=1.00 top_named_sim=1.000 named_in_top5=5 | ['a^b', '(a|b)-(a&b)'] | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [3s]
  gen    20: best=4.12 edge=1.00 top_named_sim=0.938 named_in_top5=4 | ~a^b@0.938 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [6s]
  gen    30: best=4.17 edge=1.00 top_named_sim=0.579 named_in_top5=0 | ~3a+b@0.579 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [9s]
  gen    40: best=4.46 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [12s]
  gen    50: best=4.26 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [15s]
  gen    60: best=4.63 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [17s]
  gen    70: best=4.89 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [20s]
  gen    80: best=4.50 edge=0.99 top_named_sim=0.540 named_in_top5=0 | ~~(a^b)@0.54 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [23s]
  gen    90: best=4.43 edge=1.00 top_named_sim=0.669 named_in_top5=0 | ~a^(b>>1)@0.669 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [26s]
  gen   100: best=4.28 edge=1.00 top_named_sim=0.669 named_in_top5=0 | ~a^(b>>1)@0.669 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [29s]
  gen   110: best=4.88 edge=1.00 top_named_sim=0.669 named_in_top5=0 | ~a^(b>>1)@0.669 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [32s]
  gen   120: best=4.22 edge=1.00 top_named_sim=0.669 named_in_top5=0 | ~a^(b>>1)@0.669 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [35s]
  gen   130: best=4.92 edge=0.99 top_named_sim=0.538 named_in_top5=0 | ~~(a&b)@0.538 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [38s]
  gen   140: best=4.88 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [41s]
  gen   150: best=4.88 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [43s]
  gen   160: best=4.88 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [46s]
  gen   170: best=4.81 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [49s]
  gen   180: best=4.88 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [52s]
  gen   190: best=4.95 edge=0.99 top_named_sim=0.538 named_in_top5=0 | ~~(a&b)@0.538 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [55s]
  gen   200: best=4.93 edge=1.00 top_named_sim=0.669 named_in_top5=0 | ~a^(b>>1)@0.669 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [58s]
  gen   210: best=4.98 edge=1.00 top_named_sim=0.546 named_in_top5=0 | ~a|~b@0.546 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [61s]
  gen   220: best=4.83 edge=1.00 top_named_sim=0.656 named_in_top5=0 | ~a^(b>>1)@0.656 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [63s]
  gen   230: best=4.88 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [66s]
  gen   240: best=4.94 edge=1.00 top_named_sim=0.677 named_in_top5=0 | ~a^(b>>1)@0.677 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [69s]
  gen   250: best=4.87 edge=1.00 top_named_sim=0.578 named_in_top5=0 | ~(a+b)>>1@0.578 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [72s]
  gen   260: best=4.88 edge=0.99 top_named_sim=0.530 named_in_top5=0 | ~~(a&b)@0.53 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [75s]
  gen   270: best=4.85 edge=1.00 top_named_sim=0.546 named_in_top5=0 | ~a|~b@0.546 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [78s]
  gen   280: best=4.92 edge=1.00 top_named_sim=0.551 named_in_top5=0 | ~a^b@0.551 | fm=['a+b', '(a|b)+(a&b)', 'a<<2', '4a', 'a<<1', '2a'] [81s]
