
gpu_avida_loop | device=cuda | maxit=4 (reachable depth ~P*maxit=96) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen     0: best=3.38 edge=0.99 top_named_sim=0.758 named_in_top5=3 | ~a^(b<<1)@0.758 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [1s]
  gen    10: best=4.75 edge=0.99 top_named_sim=0.548 named_in_top5=0 | ~3a@0.548 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [6s]
  gen    20: best=4.97 edge=0.99 top_named_sim=0.552 named_in_top5=0 | ~3a@0.552 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [11s]
  gen    30: best=4.98 edge=1.00 top_named_sim=0.720 named_in_top5=0 | ~a|b@0.72 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [16s]
  gen    40: best=5.10 edge=1.00 top_named_sim=0.597 named_in_top5=0 | ~(a+b)^a^b@0.597 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [21s]
  gen    50: best=5.19 edge=1.00 top_named_sim=0.616 named_in_top5=0 | ~0@0.616 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [26s]
  gen    60: best=5.19 edge=1.00 top_named_sim=0.616 named_in_top5=0 | ~0@0.616 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [31s]
  gen    70: best=5.20 edge=1.00 top_named_sim=0.576 named_in_top5=0 | ~a|b@0.576 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [36s]
  gen    80: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [42s]
  gen    90: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [47s]
  gen   100: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [52s]
  gen   110: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [57s]
  gen   120: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0@0.607 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [62s]
  gen   130: best=5.20 edge=1.00 top_named_sim=0.575 named_in_top5=0 | ~a|b@0.575 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [67s]
  gen   140: best=5.20 edge=1.00 top_named_sim=0.597 named_in_top5=0 | ~(a+b)^a^b@0.597 | fm=['a+b', '(a|b)+(a&b)', 'a&b'] [73s]
