
gpu_avida_loop | device=cuda | maxit=4 (reachable depth ~P*maxit=96) N=6144 gens=600

  HEADLINE: top_named_sim as a function of reachable depth. DROP with depth -> named region is
  shallow (depth was the gate). FLAT-HIGH -> naming-density extends deep (recognition is the ceiling).

  gen     0: best=3.46 edge=0.79 top_named_sim=1.000 named_in_top5=3 | ['2a+2b'] | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [1s]
  gen    10: best=4.89 edge=1.00 top_named_sim=0.532 named_in_top5=0 | ~~(a|b)@0.532 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [6s]
  gen    20: best=5.09 edge=1.00 top_named_sim=0.588 named_in_top5=0 | ~(a+b)<<2@0.588 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [11s]
  gen    30: best=5.08 edge=1.00 top_named_sim=0.588 named_in_top5=0 | ~(a+b)<<2@0.588 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [16s]
  gen    40: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [21s]
  gen    50: best=5.20 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [26s]
  gen    60: best=5.17 edge=0.99 top_named_sim=0.573 named_in_top5=0 | ~a|b@0.573 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [31s]
  gen    70: best=5.10 edge=1.00 top_named_sim=0.607 named_in_top5=0 | ~0xFFFF@0.607 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [36s]
  gen    80: best=5.08 edge=1.00 top_named_sim=0.588 named_in_top5=0 | ~(a+b)<<2@0.588 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [41s]
  gen    90: best=5.12 edge=0.99 top_named_sim=0.604 named_in_top5=0 | ~0xFFFF@0.604 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [47s]
  gen   100: best=5.19 edge=1.00 top_named_sim=0.562 named_in_top5=0 | ~0xFFFF@0.562 | fm=['2a+2b', 'b-a', 'a<<2', '4a'] [52s]
