  STAGE 1 (GPU float64): A-grid 2196 x B-grid 2196 = 4,822,416 PCFs, 90 terms, |coef|<=6
    A 1/2196  survivors so far 2,069  [0s]
    A 110/2196  survivors so far 220,839  [5s]
    A 219/2196  survivors so far 441,599  [10s]
    A 328/2196  survivors so far 657,872  [15s]
    A 437/2196  survivors so far 875,993  [19s]
    A 546/2196  survivors so far 1,096,945  [24s]
    A 655/2196  survivors so far 1,312,740  [29s]
    A 764/2196  survivors so far 1,531,303  [33s]
    A 873/2196  survivors so far 1,751,402  [38s]
    A 982/2196  survivors so far 1,966,665  [42s]
    A 1091/2196  survivors so far 2,186,945  [47s]
    A 1200/2196  survivors so far 2,407,404  [51s]
    A 1309/2196  survivors so far 2,622,947  [56s]
    A 1418/2196  survivors so far 2,843,724  [61s]
    A 1527/2196  survivors so far 3,061,404  [65s]
    A 1636/2196  survivors so far 3,277,540  [70s]
    A 1745/2196  survivors so far 3,498,975  [75s]
    A 1854/2196  survivors so far 3,716,025  [80s]
    A 1963/2196  survivors so far 3,932,999  [84s]
    A 2072/2196  survivors so far 4,154,788  [89s]
    A 2181/2196  survivors so far 4,371,604  [94s]
  STAGE 1 done: 4,317,754 distinct convergent non-trivial PCF values (of 4,822,416 evaluated) [98s]
  wrote runs/pcf_main/stage1_survivors.npz
